DefendantAddressLine1,numberperaddress
680 W SAM HOUSTON PKWY S,20
6767 BENNINGTON RD,20
5735 TIMBER CREEK PL DR,20
545 SEMINAR DR,20
501 MASSEY TOMPKINS RD,20
414 MAXEY ROAD,20
400 GREENS RD,20
22022 CIMARRON PARKWAY,20
9898 FORUM PARK DRIVE,19
9803 W SAM HOUSTON PKWY,19
7909 S SAM HOUSTON PKWY E,19
6407 ANTOINE DRIVE,19
550 NORMANDY ST,19
5015 ALDINE BENDER RD,19
3360 ALICE STREET,19
301 TRI CITY BEACH RD,19
2431 FM 1960 W,19
2201 HAYES RD,19
9900 RICHMOND,18
911 SUN PRAIRIE,18
8440 N SAM HOUSTON PKWY E,18
6900 N MAIN ST,18
670 MAXEY RD,18
5609 ALDINE BENDER,18
5145 SILVER CREEK,18
500 W CROSSTIMBERS STREET,18
4300 SOUTH SHAVER,18
3530 GREEN CREST DR,18
2500 E WALLISVILLE RD,18
2410 S KIRKWOOD RD,18
22631 COLONIAL PARKWAY,18
2219 GREENHOUSE RD,18
2203 ALDINE MAIL ROUTE,18
9803 W. SAM HOUSTON PKWY,17
9702 N SAM HOUSTON PKWY,17
9200 BISSONNET ST,17
8600 STERLINGSHIRE,17
8330 N SAM HOUSTON PKWY E,17
7900 MORLEY,17
7500 PINEMONT DR,17
6700 QUEENSTON BLVD,17
5801 HOLLISTER,17
5353 DEEP FOREST DRIVE,17
5300 W GULF BANK,17
4822 E SAM HOUSTON PKWY N,17
3443 ADDICKS CLODINE RD,17
3300 ROLLINGBROOK DR,17
2800 KATY HOCKLEY CO RD,17
24757 GRAND HARBOR DR,17
8915 BROADWAY STREET,16
8410 WEST BARTELL DRIVE,16
8155 RICHMOND AVENUE,16
7202 BARKER CYPRESS RD,16
7170 PARKER RD,16
5959 PINEMONT DRIVE,16
5735 TIMBER CREEK PLACE,16
4000 GRIGGS,16
22221 CYPRESSWOOD DR,16
21717 INVERNESS FOREST,16
21500 PARK ROW DR,16
990 CYPRESS STATION DR,15
8700 BROADWAY ST,15
7120 VILLAGE WAY,15
7055 HOLLISTER RD,15
6000 HOLLISTER ST,15
5801 W. SUNFOREST DR,15
555 NORMANDY ST,15
5500 SAMPSON ST.,15
5000 WATKINS WAY,15
400 GREENS ROAD,15
3411 WALNUT BEND LANE,15
333 NORMANDY ST,15
311 HIGHLAND CROSS,15
2323 W BAY AREA BLVD,15
2303 W TIDWELL,15
2300 TAFT CIRCLE,15
2020 BENTWORTH,15
2002 S MASON RD,15
9801 W FAIRMONT PKWY,14
9800 HOLLOCK ST,14
9401 COVENTRY SQUARE DR,14
8877 LAKES AT 610 DR,14
8701 GUSTINE LANE,14
8101 LEONORA ST,14
8001 W. TIDWELL,14
5700 THOUSAND OAKS CIRCLE,14
5450 TIMBER CREEK PL DR,14
3525 S SAM HOUSTON PKWY E,14
3111 W LITTLE YORK RD,14
310 PARRAMATTA LANE,14
3031 SUMPTER ST,14
2929 HIRSCHFIELD RD,14
2700 WARD RD,14
211 DOMINION PARK DR,14
9889 CYPRESSWOOD DRIVE,13
9802 FORUM PARK DR,13
9494 HUMBLE WESTFIELD RD,13
920 LAWRENCE ST,13
8950 GLENCREST ST,13
8405 BROADWAY,13
7298 KINGS GATE CIRCLE,13
6602 MADRID,13
6415 S LAKE HOUSTON PKWY,13
605 MASSEY TOMPKINS RD,13
5301 N. SAM HOUSTON PKWY,13
4121 WIPPRECHT ST,13
410 N PEREZ,13
4000 W 34TH ST,13
3000 MURWORTH DR,13
2920 SHADOWBRIAR DRIVE,13
2219 GREENHOUSE,13
21101 KINGSLAND BLVD,13
9940 RICHMOND AVENUE,12
9814 FM 1960 BYPASS,12
9601 W MONTGOMERY RD,12
9475 W SAM HOUSTON PKWY S,12
9100 MILLS ROAD,12
9001 S BRAESWOOD BLVD,12
8900 GLENCREST ST,12
8797 HAMMERLY BLVD,12
8405 BROADWAY ST,12
770 GREENS RD,12
7502 CORPORATE DR,12
670 MAXEY ROAD,12
5550 HOLLY VIEW DR,12
5500 SAMPSON ST,12
4014 LAVENDER ST,12
3918 ATASCOCITA RD,12
3400 SHADY HILL DRIVE,12
24949 KATY RANCH RD,12
230 ATASCOCITA RD,12
222 MASON CREEK DR,12
220 NORTHPOINT DR,12
9955 BAMMEL N HOUSTON RD,11
9900 RICHMOND AVE,11
9757 PINE LAKE DR,11
9550 LONGPOINT RD,11
8791 HAMMERLY BLVD,11
831 WILSON ROAD,11
7373 ARDMORE STREET,11
7200 PINEMONT DR,11
6363 WEST AIRPORT BLVD #,11
6150 W TIDWELL RD,11
5454 W GULF BANK,11
4700 WENDA ST,11
4410 WESTHEIMER RD,11
4011 GALVESTON RD,11
320 MASSEY TOMPKINS RD,11
2525 ALLEN GENOA,11
2201 WEST OREM DR.,11
211 DOMINION PARK DRIVE,11
2004 SAN SEBASTIAN CT,11
9851 MEADOWGLEN,10
925 NORTHWOOD DR,10
90 UVALDE,10
8801 GLENCREST ST,10
8750 POINT PARK,10
7800 WEST AIRPORT,10
7600 CREEKBEND,10
6777 SOMMERALL DR,10
6440 W 43RD ST,10
6000 HOLLISTER,10
5303 ATASCOCITA RD,10
5103 SILVER CREEK,10
4700 S KIRKWOOD RD,10
4343 OLD SPANISH TRAIL,10
411 HIGHLAND CROSS DR,10
4040 SYNOTT RD,10
401 S BENDER AVE,10
3950 ASHBURNHAM DRIVE,10
315 BENMAR DR,10
2900 WEST BAKER ROAD,10
2301 HAYES RD,10
22820 IMPERIAL VALLEY DR,10
2031 WESTBOROUGH DR,10
200 HOLLOW TREE LN,10
9801 MEADOWGLEN,9
9755 COURT GLEN DR,9
975 SHELDON RD,9
9540 KEMPWOOD DR,9
919 NORTHWOOD DR,9
8727 POINT PARK,9
8520 PITNER RD,9
8271 STONE ST,9
818 PINEMONT,9
8165 RICHMOND AVENUE,9
7740 W LITTLE YORK,9
6215 TIERWESTER,9
5950 ANTOINE DR,9
5925 FM 2100 RD,9
5915 FLINTLOCK RD,9
5610 ROYAL PALMS ST.,9
5300 S LAKE HOUSTON PKWY,9
505 WELLS FARGO DRIVE,9
505 WELLS FARGO DR,9
500 AIRTEX BLVD,9
4601 VILLAGE LANE,9
3939 SYNOTT RD,9
3800 CANFIELD,9
3711 SOUTHMORE BLVD,9
3700 KINGWOOD DR,9
3360 ALICE ST,9
3200 TRUXILLO,9
315 S RICHEY ST,9
301 WILCREST DRIVE,9
301 BENMAR,9
2300 RED BLUFF,9
2255 ELDRIDGE PKWY,9
2223 W BAY AREA BLVD,9
2150 KATY FORT BEND RD,9
2121 TANNEHILL DRIVE,9
2100 W BAKER RD,9
2000 WESTBOROUGH DRIVE,9
9802 FORUM PARK,8
9520 WILCREST,8
9411 WESTHEIMER RD,8
915 BAKER DR,8
8877 LAKES AT 610 DR.,8
8800 GUSTINE LANE,8
8650 PITNER RD,8
8600 STERLINGSHIRE ST,8
8565 W SAM HOUSTON PKWY S,8
8430 ANTOINE DRIVE,8
8100 W AIRPORT,8
8034 ANTOINE DR,8
8000 W. TIDWELL,8
77 E EDGEBROOK DRIVE,8
7526 MARTIN LUTHER KING,8
7447 N WAYSIDE DR,8
6403 SIERRA BLANCA DR,8
6100 MARINETTE DR,8
6000 BISSONNET ST,8
5600 CHIMNEY ROCK,8
5116 ALBA,8
4706 YELLOWSTONE,8
4655 WILD INDIGO,8
4601 QUAIL HOLLOW DR,8
3700 WATONGA BLVD,8
3525 S. SAM HOUSTON PKWY,8
333 AIRTEX,8
322 MASSEY TOMPKINS RD,8
3120 DECKER DR,8
311 NORTH VISTA DR,8
305 W BAKER RD,8
302 COBIA DR,8
29807 TOMBALL PARKWAY,8
2702 W BAY AREA BLVD,8
2700 WOODLAND PARK DR,8
2502 WEBSTER ST.,8
250 UVALDE RD,8
250 UVALDE,8
2431 FM 1960 RD WEST APT,8
2400 BRIARWEST BLVD,8
2323 ELDRIDGE PKWY,8
2300 WILCREST DR,8
2300 RED BLUFF RD,8
230 UVALDE,8
20525 CYPRESSWOOD DR,8
2001 JENKINS RD,8
9898 FORUM PARK DR,7
9700 MESA DR,7
9700 MESA,7
9600 BRAES BAYOU DR,7
9502 WOODFAIR DR,7
9500 WEST ROAD,7
9415 WESTHEIMER RD,7
9303 WOODFAIR DR,7
9002 STERLINGSHIRE,7
8900 FONDREN RD,7
8630 EASTON COMMONS DR,7
8627 HUFSMITH RD,7
8300 W. AIRPORT,7
8181 EL MUNDO,7
8165 RICHMOND AVE,7
8100 W. AIRPORT,7
7812 TIERWESTER ST,7
7500 COOK RD,7
7315 SPRING CYPRESS RD,7
7125 MANCHESTER,7
7111 HILLCROFT,7
6833 LAKEVIEW HAVEN DR,7
6767 BENNINGTON STREET,7
6666 CHIMNEY ROCK,7
6666 CHETWOOD DR,7
6417 ANTOINE DRIVE,7
6407 ANTOINE DR,7
6200 E SAM HOUSTON PKWY N,7
6101 ANTOINE DRIVE,7
6033 GARTH RD,7
601 CYPRESS STATION,7
5840 GLENMONT DR,7
5635 DUMFRIES,7
5300 COKE ST,7
5135 NORTH FREEWAY,7
5107 BROWNCROFT ST,7
5100 FM 1960 WEST,7
500 AIRTEX,7
4747 ALLENDALE,7
4700 WENDA ST.,7
4600 CULLEN BLVD,7
4522 SYLVANFIELD BLVD,7
4500 SJOLANDER RD,7
4475 WILSON ROAD,7
4403 FALLEN OAKS,7
4335 ALDINE MAIL RT,7
4201 FAIRMONT PARKWAY,7
4000 WATONGA BLVD,7
3402 BLALOCK,7
3230 S GESSNER RD,7
3201 GARTH ROAD,7
315 BENMAR,7
310 PARRAMATTA LN,7
2800 S DAIRY ASHFORD RD,7
2686 MURWORTH,7
2503 PANAGARD,7
25000 FM 2100 RD,7
2431 FM1960 W RD,7
2400 FOUNTAIN VIEW DR,7
23302 TREE BRIGHT,7
2305 HAYES RD,7
2300 WILCREST DRIVE,7
22715 IMPERIAL VALLEY DR,7
226 W CANINO,7
2222 WESTERLAND DR,7
2201 WEST OREM DR,7
2109 CHARLOTTE DR,7
19939 CHASEWOOD PARK DR,7
9915 HANNON,6
9850 S KIRKWOOD RD,6
9636 CROFTON STREET,6
9550 ELLA LEE LN,6
9301 CLAY RD,6
925 NORTHWOOD ST,6
9233 WESTHEIMER RD,6
8801 S. BRAESWOOD BLVD,6
8800 HAMMERLY BLVD,6
8800 GULF FREEWAY,6
8740 WESTHEIMER,6
8501 BROADWAY ST.,6
8410 OLEANDER ST,6
838 GREENS RD,6
8300 W AIRPORT,6
811 NORTHWOOD DR,6
8040 W. AIRPORT,6
8039 BOONE RD,6
7700 WILLOWCHASE BLVD,6
770 N ELDRIDGE PKWY,6
764 INTERNATIONAL BLVD,6
7550 WILSHIRE PLACE DR,6
7303 SPRING CYPRESS RD,6
7250 W GREENS RD,6
7215 SPRING CYPRESS RD,6
7035 BELLFORT,6
7020 STUEBNER AIRLINE DR,6
6900 NORTH MAIN ST,6
6314 HEFFERNAN ST,6
6212 NORTHLINE,6
607 THORNTON RD,6
6013 SCHROEDER RD.,6
5942 SANTA BERNADETTA,6
5927 ALMEDA RD,6
5900 N BRAESWOOD BLVD,6
5850 PARKFRONT DR,6
5735 TIMBER CREEK PLACE D,6
5730 TIMBER CREEK PLACE D,6
4855 WEST FUQUA,6
4855 MAGNOLIA COVE DR,6
4500 CYPRESSWOOD DR,6
412 S BENDER AVE,6
3819 CARY CREEK DR,6
3803 SYNOTT RD,6
3737 BURKETT,6
3607 VERHALEN,6
3435 WALNUT BEND LANE,6
3322 YELLOWSTONE BLVD,6
3230 SOUTH GESSNER,6
311 N VISTA DR,6
305 SUNNYSIDE,6
3030 SHADOWBRIAR DRIVE,6
300 NORTH VISTA,6
2931 BARKER CYPRESS ROAD,6
2900 W BAKER RD,6
2819 BERRY STREET,6
2800 W BAKER RD,6
2727 SYNOTT RD,6
2727 ELMSIDE DRIVE,6
2613 CENTER ST,6
2550 JOEL WHEATON,6
2525 WINROCK BLVD,6
2500 E WALLISVILLE,6
2475 GRAY FALLS,6
24610 STRONG PINE DR,6
2431 FM1960 W,6
2424 WINROCK BLVD,6
2400 SPRING RAIN DRIVE,6
2380 S. MACGREGOR WAY,6
233 E ROSAMOND,6
2310 CRESCENT PARK DR,6
230 UVALDE RD,6
22720 IMPERIAL VALLEY DR,6
2250 ELDRIDGE PARKWAY,6
225 S HEIGHTS BOULEVARD,6
2200 LAKE VILLAGE DR,6
21801 NORTHCREST DR,6
2122 BENTVINE,6
20919 BIRNAMWOOD BLVD,6
2041 SAN SEBASTIAN CT,6
201 W ROSAMOND,6
200 HOLLOW TREE DR,6
9955 BUFFALO SPEEDWAY,5
9850 S KIRKWOOD RD 1801,5
9814 FM 1960 BYPASS W,5
9797 LEAWOOD BLVD,5
9745 LONG POINT RD,5
9710 CAPRICE CT,5
9707 BRAEBURN GLEN BLVD,5
9701 STELLA LINK RD,5
9701 FORUM PARK DR.,5
9700 LEAWOOD BLVD,5
9550 LONGPOINT,5
950 FM 1959 #912,5
9449 BRIARFOREST,5
9407 WESTHEIMER RD,5
9311 NORWOOD TRAILS DR,5
9225 LONG POINT RD,5
9224 RODNEY RAY BLVD,5
9222 LOCKWOOD DR,5
9100 DODSON ST,5
910 LEHMAN ST,5
909 BIRNHAM WOODS BLVD,5
9001 TOWN PARK DR,5
9001 S. BRAESWOOD BLVD.,5
8901 BISSONNET ST,5
8877 LAKES AT 610 DRIVE,5
8827 PARKETTE,5
8711 TOWN PARK DR,5
8625 WINKLER DR,5
8527 FAWN TERRACE,5
8410 OLEANDER DR,5
832 W GREENS RD,5
8304 S COURSE DR,5
8300 SANDS POINT DR,5
8210 SHADY,5
8210 BAUMAN RD,5
8201 W. BELLFORT,5
8125 MILLS RD,5
8100 SANDS POINT DR,5
8000 CREEKBEND DRIVE,5
7900 SOUTH LOOP EAST,5
777 BATESWOOD DRIVE,5
7675 PHOENIX,5
7510 DECKER DR,5
7410 LINDENCREST,5
7400 PLUM CREEK DR,5
7250 W. GREENS RD,5
7203 OAKWOOD GLEN BLVD,5
7200 W TC JESTER BLVD,5
7200 TC JESTER BLVD,5
7170 PARKER ROAD,5
717 RICHCREST DR,5
7050 INWOOD PARK DR,5
7000 COOK RD,5
6910 DEL RIO,5
6900 N. MAIN ST,5
6655 LUDINGTON DR.,5
6606 MADRID,5
6602 WESTON,5
6600 DUNLAP ST #2055,5
6425 BANKSIDE DRIVE,5
633 RUSHCREEK DR,5
6311 GULF FREEWAY,5
6301 SIERRA BLANCA DR,5
6263 WESTHEIMER RD,5
6156 S LOOP E,5
612 CHARLES STREET,5
6111 NUECES PARD RD,5
611 W CAVALCADE ST,5
6101 ANTOINE DR,5
605 MASSEY TOMPKINS,5
6013 SCHROEDER,5
6011 SUGAR FIELD LN,5
5959 FM 1960 WEST RD,5
5959 FM 1960 RD WEST,5
5927 ALMEDA RD.,5
5918 SCHROEDER RD.,5
5900 SELINSKY RD,5
5900 GREENS RD,5
5850 WEST GULF BANK RD,5
5518 RAND,5
5514 GRIGGS RD.,5
5500 DE SOTO STREET,5
5500 DE SOTO ST,5
5500 ANTOINE DR,5
5431 AMELIA PLANTATION DR,5
510 BAYOU DR,5
5050 SUNFLOWER,5
503 WEST ROAD,5
5015 LOUETTA ROAD,5
4903 NOBLE,5
4620 N BRAESWOOD BLVD,5
4522 SYLVANFIELD DR,5
4503 S KIRKWOOD RD,5
4460 S MACGREGOR WAY,5
4300 SHERWOOD LN,5
427 HOLLYVALE DR,5
4227 SWARTHMORE,5
4200 CYPRESS CREEK PKWY,5
4102 MANGUM RD,5
4001 FANNIN ST.,5
4000 GRIGGS RD,5
3807 CARY CREEK DR,5
3737 HILLCROFT,5
3710 TIERWESTER,5
3700 GARTH RD,5
355 BENMAR DR,5
3502 BLUEBIRD PARK LN,5
3500 DECKER DR,5
347 S RICHEY ST,5
3402 DOVER,5
3401 DUNVALE RD,5
3333 ALABAMA,5
3300 CUMMINS,5
3233 MANGUM ROAD,5
3214 TIDWELL RD,5
3132 TIDWELL RD,5
3131 W. BELLFORT AVE.,5
311 PARRAMATTA LN,5
309 UVALDE RD,5
3030 DUNVALE RD 3109,5
3000 MURWORTH,5
300 CYBERONICS BLVD,5
2930 PLUM CREEK LN,5
2802 W BAY AREA BLVD,5
2701 W BAY AREA BLVD,5
26726 CYPRESSWOOD DRIVE,5
2601 LAZY HOLLOW DR,5
2590 BERING,5
25222 NORTHWEST FREEWAY,5
2500 E. JAMES ST,5
24758 GRAND HARBOR DR,5
24423 GEORGE'S WAY,5
2403 SOUTHMORE BLVD,5
2313 TUAM ST,5
2201 HAYES,5
21801 NORTHCREST DRIVE,5
215 SUNNYSIDE,5
2139 LAKE HILLS DR,5
210 WELLS FARGO DRIVE,5
2060 ALLEN GENOA,5
2031 WESTCREEK LANE,5
